"Time (s)","Magnetic Field x (µT)","Magnetic Field y (µT)","Magnetic Field z (µT)","Absolute field (µT)"
9.956250025E-3,2.342225647E1,-1.029344368E1,-3.583221436E1,4.402845292E1
1.994125004E-2,2.340818787E1,-1.025913429E1,-3.582759857E1,4.400920262E1
2.992524998E-2,2.346147156E1,-1.022352219E1,-3.577830505E1,4.398918238E1
3.991024999E-2,2.355088806E1,-1.023673439E1,-3.563973999E1,4.392750990E1
4.989425000E-2,2.338307190E1,-1.024279785E1,-3.570964813E1,4.389603546E1
5.987825000E-2,2.347486877E1,-1.037236023E1,-3.560933685E1,4.389396532E1
6.986325001E-2,2.340194702E1,-1.021583748E1,-3.558676910E1,4.379991547E1
7.984725002E-2,2.342391968E1,-1.018431282E1,-3.568623352E1,4.388516268E1
8.983225003E-2,2.354550171E1,-1.020357895E1,-3.570528412E1,4.397011472E1
9.981625003E-2,2.341592407E1,-1.014064217E1,-3.555764771E1,4.376624766E1
1.098012500E-1,2.357283020E1,-1.011161613E1,-3.541662598E1,4.372940087E1
1.197852500E-1,2.338824463E1,-1.016313171E1,-3.527641296E1,4.352843375E1
1.297692500E-1,2.335577393E1,-1.007227898E1,-3.536843109E1,4.356453715E1
1.397542500E-1,2.339691162E1,-1.002185059E1,-3.539170074E1,4.359386934E1
1.497382500E-1,2.337055969E1,-9.974967957E0,-3.529521942E1,4.349063761E1
1.597232500E-1,2.326924133E1,-9.996707916E0,-3.524114990E1,4.339735485E1
1.697072500E-1,2.336827087E1,-1.010593224E1,-3.530384064E1,4.352662534E1
1.796922500E-1,2.322830200E1,-9.945201874E0,-3.528624725E1,4.340023386E1
1.896762500E-1,2.324650574E1,-9.943569183E0,-3.537218475E1,4.347949001E1
1.996602500E-1,2.338372803E1,-9.993131638E0,-3.518880463E1,4.341558922E1
2.096452500E-1,2.335913086E1,-1.001090622E1,-3.506446838E1,4.330570610E1
2.196292500E-1,2.325871277E1,-9.980968475E0,-3.541355896E1,4.352823922E1
